kind,image_id,class_name,cls,conf,best_iou,xyxy,crop,full
miss,72308c1ad7844eb59747295a8be4197e,nozzle,2,1.0,,"[776.99999872, 267.00000384000003, 790.99999616, 282.00000384000003]",/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/crops/miss/nozzle/72308c1ad7844eb59747295a8be4197e_018.jpg,/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/full/72308c1ad7844eb59747295a8be4197e.jpg
miss,72308c1ad7844eb59747295a8be4197e,nozzle,2,1.0,,"[635.99999936, 730.99999872, 659.0000032, 745.99999872]",/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/crops/miss/nozzle/72308c1ad7844eb59747295a8be4197e_019.jpg,/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/full/72308c1ad7844eb59747295a8be4197e.jpg
miss,72308c1ad7844eb59747295a8be4197e,nozzle,2,1.0,,"[967.9999929599999, 258.99999744, 976.99999936, 282.0]",/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/crops/miss/nozzle/72308c1ad7844eb59747295a8be4197e_020.jpg,/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/full/72308c1ad7844eb59747295a8be4197e.jpg
miss,72308c1ad7844eb59747295a8be4197e,nozzle,2,1.0,,"[522.99999488, 291.00000384000003, 541.99999744, 306.00000384000003]",/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/crops/miss/nozzle/72308c1ad7844eb59747295a8be4197e_021.jpg,/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/full/72308c1ad7844eb59747295a8be4197e.jpg
miss,72308c1ad7844eb59747295a8be4197e,nozzle,2,1.0,,"[494.0000032, 600.0, 512.0000019199999, 611.00000256]",/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/crops/miss/nozzle/72308c1ad7844eb59747295a8be4197e_022.jpg,/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/full/72308c1ad7844eb59747295a8be4197e.jpg
miss,72308c1ad7844eb59747295a8be4197e,nozzle,2,1.0,,"[1062.02819008, 371.08785024, 1078.71190592, 387.81220992000004]",/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/crops/miss/nozzle/72308c1ad7844eb59747295a8be4197e_023.jpg,/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/full/72308c1ad7844eb59747295a8be4197e.jpg
false_positive,8eb7305f24354d1f88576c8ec9b36524,broom,0,0.4427315294742584,0.0,"[618.090087890625, 382.8012390136719, 794.8048706054688, 512.5626831054688]",/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/crops/false_positive/broom/8eb7305f24354d1f88576c8ec9b36524_001.jpg,/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/full/8eb7305f24354d1f88576c8ec9b36524.jpg
false_positive,8eb7305f24354d1f88576c8ec9b36524,drainage gate,1,0.34960702061653137,0.20569235661602617,"[620.940673828125, 384.6172180175781, 795.4009399414062, 508.6701354980469]",/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/crops/false_positive/drainage_gate/8eb7305f24354d1f88576c8ec9b36524_001.jpg,/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/full/8eb7305f24354d1f88576c8ec9b36524.jpg
miss,8eb7305f24354d1f88576c8ec9b36524,drainage gate,1,1.0,,"[497.00000063999994, 418.99999872, 737.00000704, 583.00000128]",/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/crops/miss/drainage_gate/8eb7305f24354d1f88576c8ec9b36524_001.jpg,/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/full/8eb7305f24354d1f88576c8ec9b36524.jpg
miss,8eb7305f24354d1f88576c8ec9b36524,track,3,1.0,,"[614.4097132800001, 393.22623744000003, 792.17797824, 512.35213056]",/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/crops/miss/track/8eb7305f24354d1f88576c8ec9b36524_001.jpg,/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/full/8eb7305f24354d1f88576c8ec9b36524.jpg
miss,a442074dad57451c943eca42cfb88dc9,broom,0,1.0,,"[532.00000128, 179.00000255999998, 595.00000384, 497.00000256]",/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/crops/miss/broom/a442074dad57451c943eca42cfb88dc9_001.jpg,/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/full/a442074dad57451c943eca42cfb88dc9.jpg
miss,a442074dad57451c943eca42cfb88dc9,drainage gate,1,1.0,,"[639.9999936, 539.00000256, 793.9999936, 562.00000512]",/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/crops/miss/drainage_gate/a442074dad57451c943eca42cfb88dc9_001.jpg,/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/full/a442074dad57451c943eca42cfb88dc9.jpg
miss,a442074dad57451c943eca42cfb88dc9,nozzle,2,1.0,,"[345.22547136, 150.23790336, 369.18894143999995, 166.71538944]",/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/crops/miss/nozzle/a442074dad57451c943eca42cfb88dc9_008.jpg,/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/full/a442074dad57451c943eca42cfb88dc9.jpg
miss,a442074dad57451c943eca42cfb88dc9,nozzle,2,1.0,,"[340.67275264, 262.23886079999994, 366.04280064, 279.10100736]",/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/crops/miss/nozzle/a442074dad57451c943eca42cfb88dc9_009.jpg,/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/full/a442074dad57451c943eca42cfb88dc9.jpg
miss,a442074dad57451c943eca42cfb88dc9,nozzle,2,1.0,,"[340.39143424, 373.70013695999995, 370.03287552, 392.9276928]",/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/crops/miss/nozzle/a442074dad57451c943eca42cfb88dc9_010.jpg,/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/full/a442074dad57451c943eca42cfb88dc9.jpg
miss,a442074dad57451c943eca42cfb88dc9,nozzle,2,1.0,,"[1080.76722688, 147.5452416, 1102.30793728, 166.02069504000002]",/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/crops/miss/nozzle/a442074dad57451c943eca42cfb88dc9_011.jpg,/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/full/a442074dad57451c943eca42cfb88dc9.jpg
miss,a442074dad57451c943eca42cfb88dc9,nozzle,2,1.0,,"[1080.54906432, 260.1605184, 1101.68788928, 276.8504256]",/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/crops/miss/nozzle/a442074dad57451c943eca42cfb88dc9_012.jpg,/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/full/a442074dad57451c943eca42cfb88dc9.jpg
miss,a442074dad57451c943eca42cfb88dc9,nozzle,2,1.0,,"[1080.1127392, 380.18778624000004, 1103.0641951999999, 399.36600576]",/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/crops/miss/nozzle/a442074dad57451c943eca42cfb88dc9_013.jpg,/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/full/a442074dad57451c943eca42cfb88dc9.jpg
miss,a442074dad57451c943eca42cfb88dc9,nozzle,2,1.0,,"[1080.00000064, 491.00000256, 1103.99999424, 498.0]",/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/crops/miss/nozzle/a442074dad57451c943eca42cfb88dc9_014.jpg,/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/full/a442074dad57451c943eca42cfb88dc9.jpg
miss,a442074dad57451c943eca42cfb88dc9,nozzle,2,1.0,,"[345.35750655999993, 486.1489152, 363.08611327999995, 500.75473919999996]",/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/crops/miss/nozzle/a442074dad57451c943eca42cfb88dc9_015.jpg,/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/full/a442074dad57451c943eca42cfb88dc9.jpg
false_positive,b648d53a977a48299d5662203f382a23,broom,0,0.2187083512544632,0.28574487169259416,"[997.248291015625, 62.09626770019531, 1128.0924072265625, 176.49807739257812]",/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/crops/false_positive/broom/b648d53a977a48299d5662203f382a23_001.jpg,/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/full/b648d53a977a48299d5662203f382a23.jpg
miss,b648d53a977a48299d5662203f382a23,broom,0,1.0,,"[1074.7447814400002, 81.65827584000002, 1120.46711744, 181.01692416]",/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/crops/miss/broom/b648d53a977a48299d5662203f382a23_001.jpg,/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/full/b648d53a977a48299d5662203f382a23.jpg
miss,e1bb6be201ef4b6ca26fcb11b6ec79b0,drainage gate,1,1.0,,"[936.0621107200001, 341.42838144, 1054.1628416, 389.46569856]",/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/crops/miss/drainage_gate/e1bb6be201ef4b6ca26fcb11b6ec79b0_001.jpg,/home/sina/projects/validator_improve/score_miner_project/public_detect/reports/failure_reviews/car_wash_yolo11n_starter/full/e1bb6be201ef4b6ca26fcb11b6ec79b0.jpg
